date,fire_count,total_frp,burned_area,year_x,fire_count_baseline,total_frp_baseline,burned_area_baseline,fire_anomaly,frp_anomaly,burn_anomaly,aerosol_index,no2,co,year_y,co_baseline,no2_baseline,aerosol_index_baseline,co_anomaly,no2_anomaly,ai_anomaly,fire_lag_0,frp_lag_0,fire_anomaly_lag_0,frp_anomaly_lag_0,fire_lag_1,frp_lag_1,fire_anomaly_lag_1,frp_anomaly_lag_1,fire_lag_2,frp_lag_2,fire_anomaly_lag_2,frp_anomaly_lag_2,fire_lag_3,frp_lag_3,fire_anomaly_lag_3,frp_anomaly_lag_3,fire_lag_4,frp_lag_4,fire_anomaly_lag_4,frp_anomaly_lag_4,fire_lag_5,frp_lag_5,fire_anomaly_lag_5,frp_anomaly_lag_5
2020-11-01,232.0,60137.0,10789.147576050242,2020,1.380392156862745,264.71205400192866,69.665963390625,230.6196078431373,59872.28794599807,10719.481612659616,-0.538414866005384,5.145778385700877e-05,0.044265832205109,2020,0.0368934792945119,3.726492906205531e-05,-1.1082192844135068,0.007372352910597,1.4192854794953455e-05,0.5698044184081228,232.0,60137.0,230.6196078431373,59872.28794599807,232.0,60137.0,230.6196078431373,59872.28794599807,232.0,60137.0,230.6196078431373,59872.28794599807,232.0,60137.0,230.6196078431373,59872.28794599807,232.0,60137.0,230.6196078431373,59872.28794599807,232.0,60137.0,230.6196078431373,59872.28794599807
2020-12-01,0.0,0.0,13.234542421875,2020,1.380392156862745,264.71205400192866,69.665963390625,-1.380392156862745,-264.71205400192866,-56.43142096875,-0.989334310519768,6.301606981552692e-05,0.0378935948679765,2020,0.0368934792945119,3.726492906205531e-05,-1.1082192844135068,0.0010001155734645,2.5751140753471607e-05,0.1188849738937388,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866
2020-12-01,0.0,0.0,13.234542421875,2020,1.380392156862745,264.71205400192866,69.665963390625,-1.380392156862745,-264.71205400192866,-56.43142096875,-0.6517904372909674,8.013177485353478e-05,0.0425806788879508,2020,0.0368934792945119,3.726492906205531e-05,-1.1082192844135068,0.0056871995934389,4.286684579147947e-05,0.4564288471225394,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866,0.0,0.0,-1.380392156862745,-264.71205400192866
2021-09-01,0.0,0.0,97.40895459375,2021,1.3450337512054005,480.2504660880746,0.7068358125919117,-1.3450337512054005,-480.2504660880746,96.70211878115808,-0.890681675422705,3.0717702389666026e-05,0.033280435040819,2021,0.0366655441033078,4.791966969065662e-05,-0.5804933242358772,-0.0033851090624888,-1.7201967300990595e-05,-0.3101883511868278,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746
2021-10-01,0.0,0.0,4996.099048124693,2021,1.3450337512054005,480.2504660880746,0.7068358125919117,-1.3450337512054005,-480.2504660880746,4995.392212312101,-0.7175794188626731,4.122209799139638e-05,0.0352277095176053,2021,0.0366655441033078,4.791966969065662e-05,-0.5804933242358772,-0.0014378345857024,-6.697571699260239e-06,-0.1370860946267958,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746
2021-10-01,0.0,0.0,4996.099048124693,2021,1.3450337512054005,480.2504660880746,0.7068358125919117,-1.3450337512054005,-480.2504660880746,4995.392212312101,0.3207493359320651,4.531787685525502e-05,0.0355320618865974,2021,0.0366655441033078,4.791966969065662e-05,-0.5804933242358772,-0.0011334822167103,-2.6017928354016035e-06,0.9012426601679424,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746,0.0,0.0,-1.3450337512054005,-480.2504660880746
2021-11-01,177.14117647058822,15362.058823529413,16089.19792729914,2021,1.3450337512054005,480.2504660880746,0.7068358125919117,175.79614271938283,14881.808357441338,16088.491091486549,0.809239582879869,6.648453510355395e-05,0.0431606747212926,2021,0.0366655441033078,4.791966969065662e-05,-0.5804933242358772,0.0064951306179848,1.856486541289733e-05,1.389732907115746,177.14117647058822,15362.058823529413,175.79614271938283,14881.808357441338,177.14117647058822,15362.058823529413,175.79614271938283,14881.808357441338,177.14117647058822,15362.058823529413,175.79614271938283,14881.808357441338,177.14117647058822,15362.058823529413,175.79614271938283,14881.808357441338,177.14117647058822,15362.058823529413,175.79614271938283,14881.808357441338,177.14117647058822,15362.058823529413,175.79614271938283,14881.808357441338
2022-09-01,1.87843137254902,157.78823529411764,59.506598137867655,2022,1.2710382513661205,173.0697524911604,25.44170574730392,0.6073931211828993,-15.281517197042774,34.064892390563735,-1.2657981281577662,3.5259364804765344e-05,0.0389669077127533,2022,0.0358883364399015,4.405120845344399e-05,-0.0074313821275949,0.0030785712728518,-8.791843648678645e-06,-1.2583667460301713,1.87843137254902,157.78823529411764,0.6073931211828993,-15.281517197042774,1.87843137254902,157.78823529411764,0.6073931211828993,-15.281517197042774,1.87843137254902,157.78823529411764,0.6073931211828993,-15.281517197042774,1.87843137254902,157.78823529411764,0.6073931211828993,-15.281517197042774,1.87843137254902,157.78823529411764,0.6073931211828993,-15.281517197042774,1.87843137254902,157.78823529411764,0.6073931211828993,-15.281517197042774
2022-10-01,2.0,142.0,4483.942526175244,2022,1.2710382513661205,173.0697524911604,25.44170574730392,0.7289617486338797,-31.06975249116041,4458.50082042794,-0.2704239017955085,4.617058289477404e-05,0.0343627453517839,2022,0.0358883364399015,4.405120845344399e-05,-0.0074313821275949,-0.0015255910881176,2.119374441330052e-06,-0.2629925196679136,2.0,142.0,0.7289617486338797,-31.06975249116041,2.0,142.0,0.7289617486338797,-31.06975249116041,2.0,142.0,0.7289617486338797,-31.06975249116041,2.0,142.0,0.7289617486338797,-31.06975249116041,2.0,142.0,0.7289617486338797,-31.06975249116041,2.0,142.0,0.7289617486338797,-31.06975249116041
2022-11-01,63.0,18709.0,14542.011855297238,2022,1.2710382513661205,173.0697524911604,25.44170574730392,61.72896174863388,18535.93024750884,14516.570149549934,0.769679152024834,7.235167706944898e-05,0.0429985354501707,2022,0.0358883364399015,4.405120845344399e-05,-0.0074313821275949,0.0071101990102691,2.8300468616004992e-05,0.7771105341524289,63.0,18709.0,61.72896174863388,18535.93024750884,63.0,18709.0,61.72896174863388,18535.93024750884,63.0,18709.0,61.72896174863388,18535.93024750884,63.0,18709.0,61.72896174863388,18535.93024750884,63.0,18709.0,61.72896174863388,18535.93024750884,63.0,18709.0,61.72896174863388,18535.93024750884
2022-12-01,2.0,108.0,1.99749703125,2022,1.2710382513661205,173.0697524911604,25.44170574730392,0.7289617486338797,-65.06975249116041,-23.44420871605392,0.533191114285028,9.085344808458116e-05,0.0404591133507836,2022,0.0358883364399015,4.405120845344399e-05,-0.0074313821275949,0.0045707769108821,4.680223963113716e-05,0.5406224964126229,2.0,108.0,0.7289617486338797,-65.06975249116041,2.0,108.0,0.7289617486338797,-65.06975249116041,2.0,108.0,0.7289617486338797,-65.06975249116041,2.0,108.0,0.7289617486338797,-65.06975249116041,2.0,108.0,0.7289617486338797,-65.06975249116041,2.0,108.0,0.7289617486338797,-65.06975249116041
2023-09-01,0.0,0.0,208.50685776286764,2023,2.8852459016393444,575.5081967213115,18.480714734375,-2.8852459016393444,-575.5081967213115,190.02614302849264,0.2010003707194784,3.617448496009409e-05,0.0365809697372786,2023,0.0352406053235695,3.878182816345437e-05,-0.370364398833598,0.0013403644137091,-2.60734320336028e-06,0.5713647695530764,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115
2023-10-01,0.0,0.0,6138.131788312072,2023,2.8852459016393444,575.5081967213115,18.480714734375,-2.8852459016393444,-575.5081967213115,6119.6510735776965,0.0968633746561459,4.5921825644579536e-05,0.036036800940351,2023,0.0352406053235695,3.878182816345437e-05,-0.370364398833598,0.0007961956167814,7.139997481125164e-06,0.4672277734897439,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115
2023-11-01,8.0,1625.0,9648.238570101466,2023,2.8852459016393444,575.5081967213115,18.480714734375,5.114754098360656,1049.4918032786886,9629.757855367092,0.7604073111850578,6.353570295365554e-05,0.0450089704812718,2023,0.0352406053235695,3.878182816345437e-05,-0.370364398833598,0.0097683651577023,2.475387479020117e-05,1.1307717100186558,8.0,1625.0,5.114754098360656,1049.4918032786886,8.0,1625.0,5.114754098360656,1049.4918032786886,8.0,1625.0,5.114754098360656,1049.4918032786886,8.0,1625.0,5.114754098360656,1049.4918032786886,8.0,1625.0,5.114754098360656,1049.4918032786886,8.0,1625.0,5.114754098360656,1049.4918032786886
2023-12-01,0.0,0.0,78.0602670713848,2023,2.8852459016393444,575.5081967213115,18.480714734375,-2.8852459016393444,-575.5081967213115,59.5795523370098,-0.287337931596818,5.426639486043216e-05,0.0436802901636829,2023,0.0352406053235695,3.878182816345437e-05,-0.370364398833598,0.0084396848401134,1.5484566696977785e-05,0.08302646723678,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115,0.0,0.0,-2.8852459016393444,-575.5081967213115
