date,fire_count,total_frp,burned_area,fire_anomaly,frp_anomaly,burn_anomaly,co,no2,aerosol_index,co_anomaly,no2_anomaly,ai_anomaly,blh,wind_speed,temp_2m,rh,precip,year,blh_anomaly,ws_anomaly
2021-09-12,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.0336565242299027,3.169920273533936e-05,-1.226429198335799,-0.003009019873405,-1.6220466955317262e-05,-0.6459358740999221,1172.5,3.5,30.6,71.4,0.0,2021,-377.5,-0.4
2021-09-13,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.0334683569628015,3.622572559923086e-05,-1.5006177455212486,-0.0031971871405062,-1.1693944091425758e-05,-0.9201244212853712,1137.1,3.34,32.0,82.6,0.0,2021,-412.9,-0.56
2021-09-14,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.032547325733127,3.818580326972127e-05,-0.9854552587451468,-0.0041182183701807,-9.733866420935351e-06,-0.4049619345092696,1357.0,2.97,32.0,69.9,4.23,2021,-193.0,-0.93
2021-09-15,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.032385721761276,2.744479725765485e-05,-0.1764901174935694,-0.0042798223420317,-2.047487243300177e-05,0.4040032067423077,1179.3,3.88,31.4,61.4,10.88,2021,-370.7,-0.02
2021-09-16,2.0,222.0,97.40895459375,0.6549662487945997,-258.2504660880746,96.70211878115808,0.0338738338757323,2.990228375564313e-05,-0.3685734668067531,-0.0027917102275754,-1.801738593501349e-05,0.2119198574291241,1248.5,4.02,27.2,90.8,0.0,2021,-301.5,0.12
2021-09-17,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.0341260448434315,2.82200952188484e-05,-1.0517850023096185,-0.0025394992598762,-1.9699574471808223e-05,-0.4712916780737414,1463.3,3.0,32.3,81.0,0.0,2021,-86.7,-0.9
2021-09-18,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.0346275301568283,2.7662030497466745e-05,-1.4972048132852336,-0.0020380139464794,-2.0257639193189876e-05,-0.9167114890493566,1296.3,3.11,31.1,78.8,0.0,2021,-253.7,-0.79
2021-09-19,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.0340491862534293,2.9622209408721983e-05,-1.2801581099863033,-0.0026163578498785,-1.829746028193463e-05,-0.6996647857504261,1303.8,3.8,36.2,73.2,0.0,2021,-246.2,-0.1
2021-09-20,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.033409383730398,3.75359371759465e-05,-0.3980220795830052,-0.0032561603729097,-1.0383732514710126e-05,0.182471244652872,1317.8,2.97,33.7,77.7,0.0,2021,-232.2,-0.93
2021-09-21,1.0,118.0,97.40895459375,-0.3450337512054002,-362.2504660880746,96.70211878115808,0.0336792504748801,3.857693097022503e-05,-0.1748531581567489,-0.0029862936284276,-9.342738720431591e-06,0.4056401660791282,1270.8,2.75,33.8,68.8,9.03,2021,-279.2,-1.15
2021-09-22,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.0363470601746145,3.478938885494248e-05,-0.7998398888221024,-0.0003184839286932,-1.3130280835714148e-05,-0.2193465645862252,1381.6,3.51,32.9,74.5,0.0,2021,-168.4,-0.39
2021-09-23,0.0,0.0,97.40895459375,-1.3450337512054005,-480.2504660880746,96.70211878115808,0.036226246929838,3.275123056060921e-05,-1.560014858468952,-0.0004392971734697,-1.5168439130047412e-05,-0.9795215342330748,1248.7,3.91,32.9,74.1,9.7,2021,-301.3,0.01
